price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_living,no_of_kitchen,facing,road_size
Rs 1.40 CRORE,"location: Kathmandu, Thankot",0.3.2.2,"Discover this prime residential property located in Thankot, offering a peaceful environment near the oil factory. Built in 2079 B.S., the property boasts a sturdy foundation with 12x12 inch pillars. With a land size of 0.3.2.2 Aana and a 1.5 storey layout, it provides ample space for comfortable living. The property features a 10,000-liter reserve tank for uninterrupted water supply. Facing west, it enjoys abundant natural light. Accessible via a 13-foot gravel road, it's conveniently situated just 250 meters from the main highway.",3,1,1,1,WEST,13 Feets
Rs 2 CRORE 70 LAKH,"location: Kathmandu, Bafal",3.1 Anna,"Discover your dream home in the prime location of Bafal! This property, built in 2077 B.S., features a spacious 2.5-storey design with 12x12 inch pillars, ensuring durability and longevity. Situated on a 3.1 anna land, this residence offers ample space for comfortable living.",5,3,1,2,SOUTH,12 Feets
Rs 3 CRORE,"location: Kathmandu, Sitapaila",4.2 Anna,"Discover your ideal home in Sitapaila's tranquil Sita Homes neighborhood, surrounded by various colonies. This spacious 2.5-storey residence boasts quality features, including aluminum windows, 24/7 water supply, and a wide black-topped road for easy access. Benefit from reliable solar water heating and enjoy the convenience of a dedicated parking area for 1 car and 2 bikes. With a generous 4.2 anna land, storage cabinet, and round-the-clock security, this peaceful enclave offers a secure and comfortable living experience. Only 1km from Sitapaila ring road, this property is perfectly situated for modern urban living.""",7,3,1,1,WEST,16 feets
Rs 3.25 CRORE,"location: Kathmandu, Sitapaila",4.2 Anna,"Discover your dream home in the coveted Adeshwor Colony, Sitapaila! This marbled and semi-furnished property boasts aluminum windows, Aaragh doors, and a reliable solar water supply. With a south-facing orientation, enjoy ample natural light and a warm ambiance. Situated on 4.2 anna land with easy 10 feet road access, this residence is conveniently located near Appti Salesberry.",5,4,1,1,SOUTH,10 Feets
Rs 3 CRORE 80 LAKH,"location: Kathmandu, Swoyambhu",7 Anna,"Discover this exceptional property in Ichangu, Kathmandu, featuring a spacious 7 anna land with all sides open, nestled near the iconic Single Tree landmark. Priced at NPR 3 Crore 80 Lakh, this parcel boasts a 16 feet gravel road, offering accessibility and convenience. Just 1 kilometer away from Swoyambhu Chwok, the location provides both tranquility and accessibility. Enjoy breathtaking views from this property, making it an ideal spot for a high tower restaurant venture. ",8,3,1,1,SOUTH,16 feets
"Rs NPR 31,500,000/-","location: Lalitpur, Dhapakhel",0.3.2.2,Welcometo the Dhapakhel House which is located just near from sumeru hospital and civil homes. ,7,5,1,2,NORTH/WEST,20 Feets
Rs 3.30 CRORE,"location: Kathmandu, Swoyambhu",3.2 anna,"""Discover your dream home in Swoyambhu, conveniently located near the family quarter. This 2.5-storey property, constructed in 2074 B.S., boasts a spacious 14x14 pillar size and sits on 3.2 anna of land. The residence features a concrete road with a 13-foot width and an east-facing facade.",5,4,1,1,East,13 Feets
Rs 3.5 CRORE,"location: Kathmandu, Bhaisipati",4 anna,"Discover this exquisite property located in the heart of Bhasipati, near Sangam Tole and just 500 meters from Bhaisipati Awas Chwok. Built in 2080 B.S., this 2.5-storey home boasts a spacious 12x12 inch layout, parquet flooring, and a modern modular kitchen. Enjoy the convenience of a 12000-litre reserve tank, AC unit, and a lush garden space. With a west-facing orientation, this residential oasis offers easy access to water, drainage, and a concrete 14-foot road.",4,3,1,1,West,14 feet
Rs 5.25 Crore,"location: Kathmandu,Chhauni",5 Anna,"Discover this charming residetial type bungalow in Chhauni, ideally located near Euro Kids School and Sangrilla House. Built in 2074 B.S., this 2.5-storey property boasts a sturdy 12x12 pillar size and sits on 5 anna of land with an east-facing entrance. Enjoy ample parking space for 2 cars and 4 bikes, along with a generous 14000-litre reserve tank, perfect for residential use. The property is nestled in a tranquil environment, with convenient access to nearby groceries and shops. It's just 400 meters from the ring road and 300 meters from the heart of Chhauni.",5,3,2,1,East,21Feets
Rs 43500000,"location: 5 minutes drive from Kalanki Chowk, Kathmandu Municipality",5 Anna,ÓżśÓż░ Óż¼Óż┐ÓżĢÓźŹÓż░ÓźĆÓż«ÓżŠ:,5,3,2,1,East,21Feets
Rs 2.85 Crore,"location: Kathmandu,kalanki",3 Anna,"Discover this impressive 3.5-storey property located near L.R.I. School in Kalanki, available for 2.85 crore. Built in 2080 B.S., it boasts a 3 anna land size, east-facing orientation, and ample parking for 1 car and 3 bikes. With a 10,000-liter reserve tank, it's perfect for residential use. The property features concrete roads, is 1.5 km from Kalanki Chowk, and just 800 meters from L.R.I. School. Enjoy easy access to water and drainage, along with nearby stores. The interior offers parqueted floors, fall ceilings, and a detailed floor plan:",6,5,1,2,East,13 Feets
Rs 3.50 Crore,"location: Thulobharayang,Budhha Chowk",5 Anna,"Discover this impressive 2.5-story bungalow in Thulobharyang, conveniently located near Buddha Chowk. Boasting a generous 14x12 pillar size, this property offers ample space for a comfortable family living. Built in 2074 B.S., it features a 5 anna land, a North/East facing facade, and a 13-feet block-paved road. With parking for 2 cars and 5 bikes, it ensures convenience for your vehicles.",5,4,1,1,North/East,13 Feets
Rs 9.75 Crore,"location: KATHMANDU, SANOBHARYANG",13 Anna,"Explore this exquisite property located in Sanobharyang, just steps away from Kamana College. Priced at 9.75 crore, this stunning bungalow boasts a pillar size of 12x12 inches and was constructed in 2074 B.S. Spanning 13 annas, it features 2.5 stories with a 15000-litre reserve tank.",5,5,1,1,south/west,20 Feets
Rs 46000000,"location: Civil Homes II Tinthana, Chandragiri",13 Anna,"1 Master Bedroom with attached bathroom, +2 Bedrooms, 2 Common Bathrooms, 1 Kitchen, 1 Dining, 1 Living Room, 2 Store Rooms",5,5,1,1,south/west,20 Feets
Rs 3.40 CRORE,"location: Kathmandu, thulobharyang",3 Anna,"""Discover this spacious 2.5-storey property located in the desirable Thulobharyang area, just steps away from Namgyal Chwok. Built in 2079 B.S., this home boasts a generous 3 anna land size with a north-west facing orientation. Enjoy ample parking for 1 car and 3 bikes, complemented by a 13 feet wide road and a block-paved road type. The property features a large reserve tank of 12000 litres, ensuring uninterrupted water supply. Additionally, you'll find all essential amenities including groceries, markets, banks, and a supermarket within a 500-meter radius.""",5,2,1,1,NORTH-WEST,13 Feets
Rs 1.30 Crore,"location: KATHMANDU, SANOBHARYANG",3 Anna,"Discover this prime property located in Sanobharyang, opposite Banglamukhi Oil Store. This well-maintained home boasts a pillar size of 12x12, with a total area of 0.1.1.2 anna. Built in 2075 B.S., it faces east, offering a pleasant view. The property features a 7000-liter reserve tank, ensuring ample water supply. The road, though 3 feet wide, is blocked, providing a quiet living environment. Situated just 100 meters from the Sanobharyang Ring Road, this residence enjoys easy access to water, drainage, and local amenities including super stores and shops.",5,2,1,1,EAST,3 feet
Rs 5.30 Crore,"location: Kathmandu,Chhauni",8 Anna,"Discover this charming 6-bedroom residential property located in Chhauni, just a stone's throw away from Euro Kids School. Situated on a 14x14 pilar-sized plot, this 8 anna land offers a serene living experience. Built in 2073 B.S., the property faces southeast and boasts a 12-foot gravel road access. With a generous reserve tank capacity of 12,000 liters, water scarcity will never be a concern.",5,4,2,1,South-EAST,12 Feets
Rs 1.80 CRORE,location: Adeshwor temple,3 Anna,"Discover this charming 3-story home located in the serene neighborhood of Sitapaila, boasting a stunning view of the iconic Adeshwor Temple. Built in 2075 B.S, this property offers ample space with a generous land size of 3 anna. Featuring 2.5 stories, the home faces north/west, ensuring abundant natural light. Parking is convenient with space for 1 car and 3 bikes.",4,3,1,-1,NORTH/WEST,14 feet
Rs 5.80 Crore,"location: Thulobharyang, Ekdhara",4.1 Anna,"Discover your dream home in Thulobharyang, Ekdhara! This remarkable 2.5-story residence, priced at 4.80 crore, boasts a south-west facing orientation. With 2-car parking, a prime Ekdhara landmark, and construction completed in 2074 BS, this property offers both comfort and convenience.",5,4,2,2,EAST-NORTH,16 Feets
Rs 4 crore,"location: Bhaisipati, Mantriquarter",4.1 Anna,"""Experience opulent living in the heart of Bhaisipati with this exquisite 2.5-story residence, priced at 4 crore. Located near Bhaisipati, Mantri Quarter, this property offers an ideal east-north orientation for abundant natural light. Constructed in 2080 BS, it boasts a sturdy foundation with a pillar size of 12/12 and a sprawling land anna of 4.1, perfect for residential use.",4,4,2,1,EAST-NORTH,14 feet
Rs 3.75 Crore,"location: Kathmandu,Sano Bharayang",4 Anna 2 Daam,"Explore this contemporary 2.5 storey residence located in the heart of Sanobharyang, Teengharey. Situated in Ward No. 2, this property boasts a spacious 12*12 inch pillar structure with a land size of 4 anna 2 daam. Priced at 3.75 crore, this home features a north-facing orientation, a 20-foot gravelled road, and is just 1.5 km from the Sanobharyang ring road",4,4,2,1,NORTH,20 Feets
Rs 17.5 Crore,"location: Kathmandu, Sitapaila",29 Anna,"Discover this impressive residential property located in the prime area of Sitapaila, with Saranpur as its prominent landmark. Built in 2055 B.S., this home boasts a sturdy foundation with pillar dimensions of 9x12 inches, ensuring lasting quality. The property spans 29 anna, offering ample space for comfortable living.",5,4,2,1,EAST,16 feets
Rs 1.25 Crore,"location: Kathmandu,Gurjudhara",3 Anna,"Explore this prime property located in Gurjudhara with a notable landmark and excellent Yatayat accessibility. This spacious parcel features a 12x12 pillar foundation on a 3 anna land, priced at 1.25 crore. It boasts a generous 10,000 litre reserve tank, ensuring ample water supply.",3,4,2,1,WEST,14 Feet
"Rs 5,50,00,000","location: Kathmandu,Sano Bharayang",6 Anna,"Spacious 6 Anna House for Sale in Sanobharyang | 2 Car Parking, Prime Residential Area",12,4,2,2,EAST,26 feet
Rs NPR 5.50 Crore,"location: Kathmandu, Thulo Bharayang",7 Aana,"Discover your dream home in Panidhara, Kathmandu! This impressive 3.5 storey house is now available for sale on a spacious 7 anna plot facing west. With a 20-feet access road, this fully residential property offers convenience and accessibility. Plus, it features a generous 3-car parking space. Located just 1.5 km from the main Ringroad in Swoyambhu, Kathmandu, Nepal, this is an opportunity you don't want to miss. Explore your new home today.",6,4,2,2,WEST,20 Feets
Rs Rs 4.5 Cr,"location: Kathmandu, Sano bharayang",7 Anna,"Discover your dream home in Sano Bharayang, Kathmandu! This impressive 3-storey bungalow, built in 2065, offers 17 spacious rooms. With 12 ft road access and an east-north orientation, it's perfectly situated just 800 meters from the main highway. Don't miss this.",12,9,2,2,EAST_WEST,10 Feets
Rs Rs3.5 Cr,"location: Kathmandu, Nagarjung, Ramkot",0.3.3.2,"Discover the epitome of comfortable living in this luxurious individual house located within the secure and serene confines of Padma Colony. With 20 ft road access, this property boasts 2.5 stories and almost 4 anna of land, facing both east and south. Enjoy access to premium amenities including a swimming pool, community spaces, and playgrounds for your children. Your perfect family home is just a call away—contact us to schedule a visit and make your dream a reality.",4,4,2,1,South/East,20 feets
Rs Rs 2.4 Crore,"location: Kathmandu, Kirtipur, Machhegaun",0.3.2.1 Aana,"Explore this magnificent 7-bedroom individual house for sale in the picturesque Machhegaun area of Kirtipur. Perfect for a big family, the property offers breathtaking views, spacious accommodation, and easy access to Kirtipur town and the Kalanki main highway. Don't miss your chance to own this dream home. Visit Gharsansar for more details.",7,4,1,1,West,13 Feets
Rs Rs 1.90 Crore,"location: Kathmandu, Sitapaila",4 Aana,"Discover Your Dream Home: 4 Anna One-Storey House in Gated Padam Colony, South-Facing. Unbeatable Price!",3,2,1,1,South,14 feets
Rs Rs 2.3 Cr/-,"location: Kathmandu, Nagarjung, Ramkot",3.2 Aana,Reasonable Price House on Ramkot at affordable price is now available for Sale.,5,3,1,2,West,13 feets
Rs NPR 2.90CR/-,"location: Kalanki,Near Arcade",0.3.1.2 Aana,,5,3,2,2,West,13 feets
Rs NPR 3.30CR/-,"location: Sitapaila,Syuchatar",0.4.1.0 Aana,,6,6,3,2,East/North,13 feets
Rs NPR 2.75CR/-,"location: Sitapaila,Syuchatar",0.3.0.0 Aana,,5,4,1,1,East/North,13 feets
Rs NPR 2.85 Crore,"location: Kathmandu, chauni",4 Anna,"Prime Residential House for Sale in Chauni Height | 5 Beds, Parking | Peaceful Colony Area",5,3,1,1,EAST-NORTH,12 Feets
Rs NPR 2.15 CR/-,"location: Sitapaila,Mahankal",3 Anna,,5,4,1,2,South/East,12 Feets
Rs NPR 3.25CR/-,"location: Kathmandu,Thulobharayang",3 Anna,,5,3,1,2,North/East,12 Feets
Rs NPR 4.8CR/-,"location: Sanobharayang,Yellow Gumba",6 Anna,,6,5,2,2,South,20 Feets
Rs NPR 2.70CR/-,"location: Imadol,Bojho Pokhari",0.3.1.2 Anna,,5,4,3,2,WEST,13 Feets
Rs NPR 2.65CR,"location: Imadol,Bojho Pokhari",3.1.1Anna,,5,3,2,2,SOUTH-WEST,13 Feets
Rs NPR 2.35 Cr/-,"location: Imadol,Bojho Pokhari",0.3.0.1 Anna,,6,3,2,2,SOUTH-WEST,13 Feets
Rs NPR 2.35 Cr/-,"location: Imadol,Bojho Pokhari",3 Anna,,4,3,2,2,WEST,13 Feets
Rs NPR 2.60 Cr/-,"location: Imadol,Bojho Pokhari",3.3 Anna,,6,3,2,2,EAST,13 Feets
Rs NPR 4.35 CR,"location: Kathmandu, Sano bharayang",6 Anna,,6,5,2,2,SOUTH,20 Feet
Rs NPR 2.95CR,"location: Sitapaila,Saranpur",4.1Anna,,5,4,1,1,SOUTH,12 Feets
Rs NPR 2.25CR,"location: Lalitpur,Tikathali",4 Anna,,4,3,2,2,SOUTH,13 Feets
Rs NPR 2.25CR,"location: Lalitpur,Tikathali",3.2 Anna,,5,3,2,2,EAST--SOUTH,13 Feets
Rs NPR 2.55CR,"location: Lalitpur,Tikathali",3.3 Anna,,4,3,2,2,SOUTH-WEST,13 Feets
Rs NPR 4.75CR,"location: Imadol,Tempo",4.1 Anna,,7,6,2,2,SOUTH,13 Feet
Rs NPR 3.25 CR,"location: Imadol,Tempo Park",3.3 Anna,,5,4,2,2,EAST,13 Feets
Rs NPR 2.70 Cr/-,"location: Imadol,Bhojho pokhari",3 Anna,,6,3,1,2,EAST-NORTH,10 Feets
Rs NPR 2.90 Cr/-,"location: Lalitpur,Tikathali",3.2.1.0,,6,4,2,2,WEST,13 Feets
Rs NPR 3.65 Cr/-,"location: Lalitpur,Tikathali",4.1 Anna,"  Floor has One living space,One common bedroom,One kitchen and One common bathroom",5,5,2,2,SOUTH,13 Feets
Rs NPR 4.25 Cr/-,"location: Imadol,Downtown",4.3.1.0 Anna,"  Floor has One living space,One common bedroom,One kitchen and One bathroom",7,6,2,2,EAST,20 Feets
Rs NPR 4.25 Cr/-,"location: Imadol,Downtown",4.1.3.0,,6,5,3,2,EAST,20 Feets
Rs NPR 4.25 Cr/-,"location: Imadol,Downtown",4.5 Anna,,6,5,2,2,EAST,20 Feets
Rs NPR 4.2 CR/-,"location: Kathmandu,Bafal",5 Aana,,4,4,1,1,South/East,11 Feets
Rs NPR 2.70CR/-,"location: Kathmandu,Sitapaila",4 Aana,,5,4,2,2,North,13 feets
Rs NPR 2.50 CR /-,"location: Sitapaila,Thapa Chowk",0.3.2.2,,5,5,2,2,East,13 feets
Rs NPR 2.15 CR/-,"location: Chandragiri,Balambu",3.5 Aana,,5,3,1,2,North,14 feets
Rs NPR 3.50 CR,"location: Chandragiri,Tinthana",4.5 Anna,,5,5,2,1,South/West,13 feets
Rs NPR 4.58 Cr/-,"location: Kathmandu,Sanobharyang",5 Aana,,6,4,1,1,East,20 feets
Rs NPR 2.25CR/-,"location: Kathmandu,Sitapaila,Towkhel",0.3.3.0 Aana,,4,4,1,1,West,13 feets
Rs Starting from Only 6 Crore 3 Lakhs Nepali Rupees,"location: Hepali Height - 7, Budhanilkantha",0.3.3.0 Aana,"Welcome to Aakriti Colony, a truly luxurious and elegant residential enclave nestled in the prestigious Hepali Height of Budhanilkantha, Nepal. Meticulously designed to redefine modern living, Aakriti Colony exudes opulence and sophistication, offering residents an unparalleled lifestyle.",4,4,1,1,West,13 feets
Rs NPR 3.30 CR/-,"location: Imadol,Thasi Marg",0.3.2.1 Aana,,6,4,2,2,East/North,16 feets
Rs NPR 2.65 CR/- .,"location: Lalitpur,Imadol, Bojho Pokhari",3 Anna,,6,4,1,2,SOUTH,13 Feets
Rs 25000000,"location: LASUNTAR,KAPAN,KATHMANDU",3 Anna,"This gorgeous and nearly perfect house will stun you with its modern and dazzling interior finishes. A well spaced parking place. A place with really cool environment, with  scenic view.",6,4,1,2,SOUTH,13 Feets
Rs NPR 3.30 Cr/-,"location: Lalitpur, Godawari,Thecho",5 Anna,,5,4,1,1,EAST,8 Feets
Rs NPR 3.5 Crore,"location: Imadol,Naya Basti",3.1 Anna,,7,3,2,2,EAST,20 Feets
Rs Npr 8 Crore,"location: Kathmanu,Kirtipur",8.5 Anna,"""Discover the ultimate residential haven in Kathmandu! Our platform proudly presents the finest spacious colony residential house in Kritipur, featuring four bedrooms, four bathrooms, a hall, ample living space, a dedicated temple area, and a coveted 20-foot property facing the east. This exclusive property is now available for you to seize the opportunity of a lifetime.""",4,3,1,1,EAST,20 Feets
Rs NPR 27500000/-,"location: Imadol , Naya Basti",3 ANNA,,5,4,2,2,East,20 Feets
Rs NPR 3.10 Crore/-,"location: Lalitpur, Sheetal Height",3.1 ANNA,,5,4,2,2,East,13 Feet
Rs NPR 3.10crore/-,"location: Lalitpur,Sheetal Height",3.1 ANNA,,5,4,2,2,South-East,13 Feet
Rs NPR 3.95crore/-,"location: Lalitpur,Imadol,Tempo Park",0.3.3.3 ANNA,,6,4,3,3,East,13 Feet
Rs NPR 70000000/-,"location: Kathmandu, Sitapaila",7.5 Aana,,6,7,4,2,East- North,13 Feets
Rs NPR 22000000/-,"location: Kathmandu,Sitapaila",4 Anna,,5,3,2,2,EAST,10 Feets
Rs NPR 2.25 Crore,"location: Kathmandu, Balambu",4 Anna,,4,3,2,2,East,13 Feet
"Rs NPR 2,50,00,000/-","location: Kathmandu,Rai Chowk",0-3-3-2 Anna,"Property Situated at Nagarjung-3, Raichowk facing to East face is now available for Sale.",6,3,1,2,EAST,12 Feets
Rs NPR 3.50crore/-,"location: Lalitpur,Sainbu",0.4.2.5 Anna,,4,2,1,1,West-South,13 Feets
"Rs NPR 16,00,00,000/-","location: Lalitpur,Bhaisepati",12 Anna,,11,9,2,1,East,18Feets
"Rs NPR 2,80,00,000/-","location: Kathmandu,Sitapaila",0.3.2.5 ANNA,,6,3,2,2,North-East,10 Feets
Rs NPR 2.60 CR/-,"location: Kathmandu, Ramkot",3.2 Anna,,6,3,3,2,WEST,16 feets
Rs NPR 3.8 Cr/-,"location: Swoyambhu , Karkhana Chowk",0.4.2.0 Anna,,6,3,2,2,North- East,13 Feet
"Rs NPR 22,000,000/-","location: Kathmandu, Sitapaila, Towkhel",0.2.5.0 Anna,Brand New Residentail house at towkhel is now,6,3,1,1,WEST,13 Feets
Rs NPR 20000000/-,"location: Kathmandu, Sitapaila",2.5 Anna,,4,3,1,1,West,10 Feet
"Rs Npr 27,500,000/-","location: Sitapaila,Civil Home",4.5 Anna,,6,5,2,2,South,12 Feet
Rs NPR 3 Crore/-,"location: Sitapaila , Banglamukhi Mandir",0.3.3.3,,4,3,1,1,West,14 Feet
Rs NPR 1.95 CR/-,"location: Kathmandu, Thankot",3 Anna,"New Residential Home Built at Thankot , Chandagiri.",8,3,2,2,EAST,13 Feets
"Rs 7,35,00,000","location: loktantrik chowk,Manamaiju,Kathmandu",3 Anna,"A neoclassical bungalow is on sale at Manamaiju. Amidst nature and full of serenity this place is the best for raising a family. A super spacious place for entertaining guests, while still being close to the city. For more information please contact 9851038664.",8,3,2,2,EAST,13 Feets
"Rs Rs 1,65,00,000","location: Kathmandu, Thankot",3 Anna,"New Residential Home Built at Thankot , Chandagiri.",4,3,2,1,WEST,12 Feets
Rs NPR 18500000/-,"location: Kathmandu, Thankot",4.5 Anna,,8,3,2,2,EAST,13 Feets
Rs NPR 11500000,"location: Kathmandu, Thankot",3.1 Anna,,3,1,1,1,EAST,13 Feets
Rs NPR 17000000,"location: Kathmandu, Thankot",3.5 Anna,,7,4,1,2,EAST,13 Feets
"Rs 33,000,000/-","location: Kathmandu, Dhungedhara",3 Anna,"Brand New house just built recentely at Kathmandu, Dhungedhara, Nepal is now available for Sale.",5,3,2,2,NORTH,13 Feets
Rs NPR 31000000/-,"location: Kathmandu ,Sanobharyang",3.5 Aana, ,6,3,1,1,East,12 Feet
Rs 21500000,"location: Purwanchal Campus Football Ground, Panmara Road, LANGHALI CHOK, Dharan, Dharan Sub-Metropolitan, Dharan, Sunsari, Koshi Province, 56100, Nepal",3.5 Aana,"Óż¦Óż░ÓżŠÓż© ÓżēÓż¬Óż«Óż╣ÓżŠÓż©ÓżŚÓż░Óż¬ÓżŠÓż▓Óż┐ÓżĢÓżŠ ÓżĄÓżĪÓżŠ Óż©Óżé. Óź¬ ÓżŁÓźćÓżĪÓźćÓż¤ÓżŠÓż░ Óż«ÓżŠ Óź¦ÓźŁÓź½ Óż½Óż┐Óż¤ ÓżģÓżŚÓźŹÓż▓Óźŗ Óż©Óż┐Óż«ÓżŠÓż░ÓźŹÓżŻÓż¦ÓźĆÓż© ÓżźÓżŠÓżēÓż£Óż© Óż¼Óż┐ÓżŚ ÓżĄÓźüÓż”ÓźŹÓżś, ÓżĖÓż¬ÓźŹÓżżÓżĢÓźŗÓżČÓźĆ Óż©Óż”ÓźĆ, Óż¦Óż░ÓżŠÓż© ÓżćÓż¤Óż╣Óż░ÓźĆ, ÓżĄÓż┐Óż░ÓżŠÓż¤Óż©ÓżŚÓż░, ÓżłÓżŻÓźŹÓżĪÓźĆÓż»ÓżŠÓżĢÓźŗ ÓżĢÓźćÓż╣ÓźĆ ÓżģÓżéÓżČ Óż”ÓźćÓż¢Óż┐Óż©Óźć ÓżĖÓż«ÓźüÓż©ÓźŹÓż”ÓźŹÓż░ÓźĆ ÓżżÓż¤ÓżĄÓżŠÓż¤ Óź¦Óź©Óź”Óź” Óż«Óż┐Óż¤Óż░ ÓżģÓżŚÓźŹÓż▓Óźŗ ÓżĪÓżŠÓżüÓżĪÓżŠÓż«ÓżŠ Óż©Óż┐Óż«ÓżŠÓż░ÓźŹÓżŻ Óż╣ÓźüÓż”Óźł ÓżŚÓż░ÓźćÓżĢÓźŗ ÓżĢÓźŹÓż»ÓżŠÓżĖÓźĆÓż©Óźŗ ÓżĖÓż╣Óż┐ÓżżÓżĢÓźŗ Óź½ ÓżżÓżŠÓż░Óźć Óż╣ÓźŗÓż¤Óż▓ ÓżĄÓż░Óż┐Óż¬Óż░Óż┐ Óż¼Óż©ÓźŹÓż©Óźć ÓżĄÓźŹÓż»ÓżŠÓż¬ÓżŠÓż░ÓźĆÓżĢ ÓżśÓż░Óż╣Óż░Óźü Óż£ÓźüÓż© Óź®Óź”Óź” ÓżĢÓźŗ Óż╣ÓżŠÓż░ÓżŠÓż╣ÓżŠÓż░ÓźĆÓż«ÓżŠ ÓżøÓż©ÓźŹ Óż»ÓżĖÓż«ÓżŠ ÓżĖÓźŹÓż«ÓżŠÓż░ÓźŹÓż¤ Óż¤ÓźćÓżĢÓźŹÓż©ÓźŗÓż▓ÓźŗÓż£ÓźĆ Óż¬ÓźŹÓż░Óż»ÓźŗÓżŚ ÓżŚÓż░ÓźĆ Óż¤ÓźüÓż░Óż┐ÓżĘÓźŹÓż¤ ÓżŁÓż┐Óż▓ÓźćÓż£ Óż©Óż┐Óż«ÓżŠÓż░ÓźŹÓżŻ ÓżŚÓż”Óźł ÓżøÓźī Óźż ÓżēÓżżm Óż¤ÓźüÓż░Óż┐ÓżĘÓźŹÓż¤ ÓżŁÓż┐Óż▓ÓźćÓż£Óż«ÓżŠ Óż¼Óż©ÓźŹÓż©Óźć ÓżĄÓźŹÓż»ÓżŠÓż¬ÓżŠÓż░ÓźĆÓżĢ ÓżŁÓżĄÓż©Óż╣Óż░ÓźüÓż«ÓżŠ Óż▓ÓżŚÓżŠÓż©ÓźĆ ÓżŚÓż░ÓźĆ ÓżåÓż½ÓźŹÓż©Óźŗ Óż▓ÓżŚÓżŠÓż©ÓźĆ Óż░ ÓżŁÓżĄÓż┐ÓżĘÓźŹÓż» ÓżĖÓźüÓż©Óż┐ÓżČÓźŹÓżÜÓźĆÓżż ÓżŚÓż░ÓźŹÓż©ÓźüÓż╣ÓźŗÓżĖ Óźż
Contact No: 9801122223/9801122222 (Viber/WhatsApp)",6,3,1,1,East,12 Feet
Rs NPR 23500000,"location: Kathmandu, Sitapaila,Syuchatar",3.1 Aana,,5,3,2,2,South-EAST,14 Feet
"Rs Npr12,00,00,000/-","location: Kathmandu,Budhanilkanta,Italitar",14.5 Aana,,5,5,2,1,SOUTH,13 Feets
Rs Npr4.50CRORE,"location: Kathmandu,Bafal",3.2 Anna,,6,4,2,2,SOUTH,13 Feets
"Rs NPR 29,500,000/-","location: LALITPUR, IMADOL,TEMPO PARK",0.3.5.0,,5,3,2,2,WEST,13 Feets
"Rs 30,000,000/-","location: Kathmandu,Sitapaila",3 ANNA,,4,4,1,1,West,16 Feets
Rs Npr 60000000/-,"location: Kathmandu, Baniyatar",6 Anna,,6,3,3,1,South-East,12 Feet
Rs NPR25500000 /-,"location: Kathmandu,Towkhel",4.1 Aana,,6,4,1,2,East/South,13 Feet
Rs 61500000 /-,"location: Kathmandu, Kimdol",5.3aana,,5,6,1,1,South-West,13 Feets
Rs 4 crore,"location: Kathmandu, Dallu",5.3aana,"""Brand New Duplex System House in Bijeshwori, Dallu, Kathmandu Available for Sale""",5,6,1,1,South-West,13 Feets
"Rs Rs 38,500,000/-","location: Kathmandu, Sitapaila",5.3aana,"""Discover the Perfect Family Home in Kathmandu Sitapaila: Spacious Residential House in Colony for Sale""",5,6,1,1,South-West,16 feets
Rs Rs 36000000/-,"location: KATHMANDU, SANOBHARYANG",3.2 Anna,,19,3,2,4,SOUTH,20 Feets
"Rs Rs 31,000,000 /-","location: Sukedhara , Kathmandu",2.5,,3,2,1,1,SOUTH,8 Feet's
"Rs Rs 28,500,000/-","location: KATHMANDU, BAFAL",4 Anna,"Looking for a spacious brand new 4 anna land house at Kathmandu, Bafal for your family? Our property is now in the final stage of completion and ready for sale at the exact location you've been searching for. Schedule a tour today by calling us.",6,4,2,2,NORTH-WEST,13 Feets
"Rs Rs 34,000,000/-","location: Kathmandu, Chamati",3.1 Anna,"Welcome to our latest offering - a brand new house for sale in Chamati! This stunning property boasts a prime location with 20 feet road access, making it the perfect home for those who value convenience and accessibility.Don't miss out on this fantastic opportunity to own your dream home in Chamati. Contact us today to schedule a viewing and take the first step towards a luxurious and comfortable lifestyle!",7,5,3,3,NORTH,20 Feets
"Rs Rs 55,000,000/-","location: Kathmandu, Sitapaila",6 Anna,"This is an exciting opportunity to purchase a brand new, modern duplex concept house that's ready for you to move in today! Located in a peaceful residential area in Sitapaila, this stunning property offers a luxurious and comfortable living experience. You'll be impressed by the abundance of facilities and amenities in the surrounding area, including shopping centers, restaurants, and parks, ensuring that all your daily needs are met with ease. This beautiful property is an ideal investment for anyone seeking a high-quality living experience with a touch of serenity. Don't wait, take the first step to secure your dream home today!",7,5,2,2,South-West,18 Feets
"Rs 42,500,000/-","location: Kathmandu, Sitapaila",7 Anna,"Discover the perfect family home in the highly sought-after location of Sitapaila! This stunning property offers the perfect balance of luxury, comfort, and convenience, with all the essential amenities right at your doorstep.",6,7,3,2,WEST,13 Feets
"Rs 70,00,000 per aana","location: Swayambhu, Kathmandu",7 Anna,House for sale in Swayambhu. 5 mins walk from swayambhu stupa. Total 6 aana with parking and trees. ,6,7,3,2,WEST,13 Feets
"Rs Rs 22,500,000/-","location: Kathmandu, Sitapaila",2.2 Anna,"""Experience the epitome of modern living in Kathmandu with our stunning brand new 3 bedroom house in Sitapaila! Perfectly designed for small families, this luxurious home boasts ample parking space and a south-facing direction that floods the entire space with natural light throughout the day. Step into a world of comfort, convenience, and style with this one-of-a-kind property that's just waiting for you to call it home.""",3,3,1,1,SOUTH,10 Feets
